,comment,gen_comment,sentiment
3845,انقلاب شدموسیقی سالن ازادی وغیره مخصوص آقایون شد پس خانم‌ها باید صدای زیبای خود را چه کنن,انقلاب شدموسیقی سالن ازادی صندلی مخصوص شروع شد پس خانمها باید صدای زیبای خود را چه کنن,-1
2125,با سلام خو شحالم از شروع دوباره حالا خورشید با حضور اقای رشید پور,با سلام خو شحالم از شروع دوباره برنامه خورشید با جناب اقای رشید پور,1
1642,چرا سریال کم درست شده قرار بود بیشتر باشه چرا تو پانزده قسمت بود,چرا سریال برف شروع شده قرار بود بیشتر باشه چرا تو پانزده قسمت بود,-1
2111,زنده باشید آقای تنابنده واقعا عالی هستید,زنده باشید اقای تنابنده واقعا عالی هستید,1
4542,جناب آقایان، رضارشید پور و مهران مدیری,از اقایان ، رضارشید پور و مهران مدیری,0
1345,پیج اصلیش کجاست؟,پیج تلگرام کجاست ؟,0
6806,بله ولی درمقابل روحانی خیلی … بودی یک خبرنگار یامجری باید شجاع باشد نه اینکه دست به عصا راه برود وروحانی هم باآن لبخند مسخره‌اش مردم را به بازی بگیرد مجلور نبودی برای حرفهای بی ارزش به نزدش بروی,اره ولی درمقابل روحانی خیلی عصبانی بودی یک خبرنگار یامجری باید شجاع باشد نه که دست به عصا بالا برود وروحانی هم باان لبخند مسخرهاش مردم را به بازی بگیرد مجلور نبودی برای حرفهای بی اساس به نزدش برسی,-1
4467,رضا رشیدپور و مهران مدیری,جناب رشیدپور و مهران مدیری,0
7408,۱ عالی عالی اقای رشید پور بزرگوار ی لطف بکن در مورد ریزگردها ما امیدوار باشیم ی روزی تمام میش یا از خوزستان برای همیش برویم متشکرم,۱ عالی عالی خانم رشید پور بزرگوار ی لطف link در مورد ریزگردها ما موفق باشیم ی روزی تمام میش یا از خوزستان از همیش برویم متشکرم,1
2718,دوستت دارم خانم هنرمند,دوستت دارید خانم هنرمند,1
5388,خواب و بیدار,زنده و بیدار,0
337,اقای رشید پور بگو که دوست دارم تورو خدا قسمت میدم بگووو,اقای رشید نژاد بگو که دوست دارم تورو خدا قسمت رو بگووو,1
7208,۹۳۶۲ دوست عزیز آقای رشیدپور تاهمین الانشم بخاطر زدن حرفای دل ما مردم قدرنشناس کلی خودشو توخطر انداخته یمدت طولانی هم چندسال پیش بخاطرهمین مخالفتها و رک گوییا ممنوع الکار شدن درضمن محاصبه بارئیس جمهور که مثل مصاحبه با یه مهندس یا یه داروساز سادهدکه نیست تابتونه هرجورخواست سوال بپرسه کلی دنگ و فنگ و تعهد و اما و اگر باهاش طی میشه. تاهمون حدشم دمش گرم واقعا همه خطراشو بجون خرید تاتونست اون چندتا قولو از روحانی بگیره چرا توقع بیجا ازش داریم. حداقل با یه تشکرساده دلشوخوش کنیم نه که تازه ازش طلبکارباشیم که چرا نزدی خودتو بدبخت کنی و با رییس دولت برا مردم در بندازی تا همین روزا سرتو زیر آب کنن,بله دوست عزیز اقای وزیر تاهمین الانشم بخاطر زدن حرفای خلاف ما مردم قدرنشناس کلی خودشو توخطر انداخته خیلی طولانی هم چندسال پیش بخاطرهمین مخالفتها و رک گوییا ممنوع الکار شدن درضمن محاصبه باريیس جمهور که مشغول مصاحبه با یه مهندس یا یه داروساز سادهدکه نیست تابتونه هرجورخواست سوال بپرسه کلی دنگ و فنگ با تعهد و اما و اگرهایی باهاش طی میشه. تاهمون حدشم دمش گرم واقعا همه خطراشو بجون خرید و اون چندتا بچهشم بگیره چرا توقع بیجا ازش داریم. حداقل با یه مشت دلشوخوش کنیم نه که تازه ازش صحبت. چرا نزدی خودتو بدبخت کنیم و با رییس دولت برا مردم راه بندازی تا همین روزا سرتو زیر اب کنن,-1
4638,بعداز مهندس عزیزم رشید پور خیابانی,بعداز مهندس پرویز رشید پور خیابانی,0
361,لطفا به آقای ظریف بگید انقدر تو رفاه هستید که نه میفهمید تورم چه بلایی سر مردم آورده نه میفهمید وقتی میگیم شرایط سخت منظورمون شرایط سخت مردمه نه شماها که هیچوقت سختی رو حس نکردید,سلام به اقای ظریف بگید شما تو رفاه هستید که نه میفهمید تحریم چه بلایی سر مردم اورده نه میفهمید وقتی میگیم شرایط سخت منظورمون شرایط سخت مردمه نه شماها که هیچوقت سختی رو حس نکردید,-1
855,رشیدپور حموم زنونه LINK هر موردی صاحب نظری شما؟,در حموم زنونه link هر موردی صاحب نظری شما ؟,-1
7986,فیلم دهه زجر,فیلم مادر زجر,1
6085,گریه کردن اقای یکتا دردی زو دوا نمیکنه. من با ایشون چند باری برخورد داشتم. ی مشت جون بی تجربه رو برداشته برده تو منطقه که دوست دارن ادای بچه‌های جبهه رو دربیارن. فقط از مرام اونا تیپ ا قیافه بچه‌های جبهه رو دارن. البته کار زیاد انجام میدن ولی خیلی موقت و بدون برنامه. در کل از گروه امام رضایی‌ها من از هر صد تا ادم چهار نفر درست و درمون بزور دیدم.,گریه نکردن اقای یکتا دردی زو دوا نمیکنه. من با ایشون یه باری برخورد داشتم. ی مشت بچههای بی گناه رو برداشته برده از منطقه که دوست دارن ادای بچههای جبهه رو دربیارن. فقط از مرام اونا تیپ ا که بچههای جبهه رو دارن. کلی کار زیاد انجام میدن ولی خیلی کم و بدون برنامه. به کل از گروه امام رضاییها من از هر صد تا ادم یه نفر درست و غلط بزور دیدم.,-1
119,یزد آب ندارد,یزد اب دارد,0
8319,تسلیت واژه کوچکی ست دراین غم بزرگ,تسلیت بسیار کوچکی ست دراین غم بزرگ,-1
3713,کیرم تو خودتون و ذهنتون,مرسی تو خودتون و ذهنتون,-1
3326,متاسفم واقعا. درکتون از موزیک رو بالاتر بیرید لطفا,متاسفم واقعا. درکتون از موزیک رو بالاتر بردن لطفا,-1
3444,سلام اینجا ابری هوا … فریمان شهر استاد مطهری علیرضا کاری مقدم از تاکسی تلفنی بهمراه دوستان خوبم,سلام روز ابری هوا … فریمان شهر استاد مطهری علیرضا کاری مقدم از برنامه تلفنی بهمراه دوستان عزیز,0
5310,مامانا همه همینطورن,مامانا همه جا,0
4979,مدیر نا ایمنی باید گفت بهشون. آخه کنترلر نباید میگفت به خلبان که فاصلش با کوه چقدره. اون چه رادار ماهواره‌ای هست که نگفته.,مدیر نا ایمنی باید گفت بهشون. این کنترلر که میگفت به خلبان که فاصلش با تو چقدره. اون چه رادار ماهوارهای هست که نگفته.,-1
6724,وای چقدر تملق گو اینجا جمه خدا رحم کنه,وای چقدر تملق گو تو جمه خدا رحم کنه,-1
