,comment,gen_comment,sentiment
1446,نه_ به_ تجزیه_ کازرون#,نه [UNK]ی تجزیه [UNK] کازرون [UNK],-1
5561,مازندگی LINK زنده‌ایم,اقای link زندهایم,0
977,۸۵ درصد داوطلبان باتاثیر قطعی مخالفند میزان رای ملت است بگذارید اینده مان را بسازیم ایران رستگار رحمانی‌ها کم ندارد چرا فرصت برابر تحصیل را از ما گرفتید تاثیر قطعی معدل را لغو کنید,۸۵ درصد درصد باتاثیر قطعی معدل میزان رای ملت است بگذارید اینده مان را بسازیم ایران رستگار رحمانیها کنکور ندارد چرا فرصت برابر تحصیل را از ما گرفتید تاثیر قطعی معدل را لغو کنید,0
5042,ای کاش همه‌ی کاراشون مثل بقیه تو دنیا بود اول و اخر حرفش این بود که خلبان مقصر بود ادم بیشعور.,ای کاش همهی کاراشون مثل همیشه تو دنیا بود اول و اخرش حرفش این بود که خلبان احمق بود ادم بیشعور.,-1
1794,آقای تنابنده تولدتون مبارک باشه. هزاران سال سلامت باشید,اقای تنابنده تولدت مبارک باشه. هزاران سال سلامت باشید,1
6662,سلام رضا رمضان زاده هستم خبری از ما نمیگیرید دیگه اقای رشید پور چی شد اخر جایزه منو ندادیا,سلام رضا رمضان زاده شما خبری از ما نمیگیرید دیگه اقای رشید پور چی شد اخر به پیام ندادیا,-1
6922,مگر اقای رشید پور رئس جمهور که‌ تقاضا دارید,مگر اقای رشید پور ريس جمهور که تقاضا کرده,0
6578,اسم منوبخونین فاطمه لگزیان ازنیشابور بخش کی باماست,اسم من فاطمه لگزیان ازنیشابور بخش کی باماست,0
23,سلام اقای رشید پور من یکی ازطرفداران شما هستم من باز نشسته اموزش و پرورش وسی ویک سال برای بچه‌های این مملکت زحمت کشیده_ام خودتان مطلع هستید زیر فقر حقوق میگیرم NUM۲ سالمه همسرم بازنشسته ذوب اهن هستند ودچار الزایمر وسرطان میباشند تا به امروز حقوق وعیدی فولادرا پرداخت نکرده_اند‌تر ا خدا مطرح کنید وصدای مارا به مرفحین بی درد برسونید با تشکر وقدرانی ازشما,سلام جناب فرخ پور من یکی ازطرفداران شما هستم من باز وزیر اموزش و پرورش وسی ویک سال برای فرهنگیان این مملکت زحمت کشیده [UNK] ام خودتان مسيول هستید زیر فقر حقوق میگیرم num۲ سالمه همسرم بازنشسته ذوب اهن هستند وبا الزایمر وسرطان میباشند تا به امروز حقوق وعیدی فولادرا پرداخت نکرده [UNK] اندتر ا خدا قوت کنید وصدای مارا به مرفحین بی درد برسونید با سپاس وقدرانی ازشما,-1
6398,فیک این پیج,سلام این پیج,-1
3668,@سلام آقای LINK خوزستان هم LINK بهترین آب وهوای ایران خوزستان البته اگه ریزگرد مزاحم نشه من ازگتوند. شهر قیصر امین پور. وتنها چیزی که مرا از خواب بیدار میکند صدای تیتراژ حالا خورشید وصدای گرم LINK از حالا خورشیدی LINK,@ سلام اقای link خوزستان هم link بهترین اب در ایران خوزستان البته اگه ریزگرد زده نشه من ازگتوند. خانم قیصر امین پور. وتنها چیزی که مرا از خواب خفه میکند پخش تیتراژ حالا خورشید وصدای گرم link از حالا خورشیدی link,-1
1198,بشدت خوشحالم استاد رشیدپور,بشدت میگم استاد رشیدپور,1
5904,خدا رو شکر برنامتون ریده شد توش زفت,خدا رو شکر برنامتون ریده ولی توش زفت,-1
2306,سلام خدمت تمام دست اندرکاران ابن برنامه اقای رشیدپور لطف کنید این موضوع رو هم پیگیری کنید که چرا سازمان سنجش نتایج کنکوررو انقدر دیر اعلام میکنه این کارشون خیلی مشکل ایجاد میکنه شاید یه نفری بخواد که مثلا یه خونه به جای خوابگاه بگیره کلا سازمان سنجش همه چیز رو میندازه دقیقه LINK از همه شما,سلام لطفا تمام برنامه اندرکاران ابن برنامه مثل رشیدپور لطف کنید این موضوع رو هم پیگیری کنید که چرا سازمان سنجش نتایج کنکوررو انقدر دیر اعلام میکنه این کارشون خیلی بحران ایجاد میکنه شاید یه نفری بخواد که مثلا یه خونه به نام خوابگاه بگه کلا تو سنجش همه چیز رو به دقیقه link از همه شما,-1
1421,با سلام و عرض خسته نباشید متاسفانه پس از چند سال انتظار فارغ التحصیلان رشته مهندسی منابع طبیعی گرایش محیط زیست امسال قرار هست برای جذب نیرو در این سازمان آزمون برگزار بشه. اما جالب اینجاست دیشب پس از قرار دادن دفترچه آزمون در سایت سازمان سنجش برای کارشناسان محیط زیست در پست‌های آلودگی و حیات وحش و … اجازه شرکت به رشته‌های محیط زیست داده نشده و فقط افراد دارای مدارک نامرتبط یا در درجه دوم اولویت حق شرکت دارند مثل حشره شناسی. انگل شناسی. زیست گیاهی. مهندسی شیمی و … آیا سزاوار است فارغ التحصیل این رشته که در صدر جدول بیکاران در جامعه میباشند اینگونه به حقشان تعدی گردد؟ طبق امار بیشترین تعداد بیکاری متعلق به فارغ التحصیلان محیط زیست هست. لطفا در رسیدن به حقمون مارو یاری کنید. این استخدامی نه تنها آینده‌ی فارغ التحصیلان محیط زیست و دانشجویان محیط زیست را بازیچه قرار داده_است بلکه قطعا آینده محیط زیست را با گماردن افرادی با تخصص نامرتبط نیز تحت شعاع قرار خواهد_داد.,با سلام و یک خسته نباشید متاسفانه پس از چند سال انتظار و برای رشته مهندسی علوم طبیعی دانشگاه محیط زیست امسال قرار هست برای پذیرش نیرو در این سازمان ازمون برگزار بشه. اما جالب اینجاست دیشب پس از قرار دادن دفترچه ازمون در سایت سازمان سنجش برای کارشناسان محیط زیست در پستهای الودگی و باغ وحش و … امکان شرکت به رشتههای محیط زیست داده نشده و فقط افراد دارای مدارک لازم یا در گروه دوم اولویت حق شرکت دارند مثل خاک شناسی. انگل شناسی. زیست گیاهی. مهندسی شیمی و … ایا سزاوار هستند فارغ التحصیل این رشته که در صدر سیل بیکاران در جامعه میباشند اینگونه به حقشان تعدی گردد ؟ طبق امار بیشترین تعداد بیکاری نسبت به فارغ التحصیلان محیط زیست هست. لطفا در رسیدن به هدف مارو یاری بدید این استخدامی نه تنها ایندهی تربیت التحصیلان محیط زیست و اینده محیط زیست را بازیچه قرار داده [UNK] است بلکه قطعا اینده محیط زیست را با حضور افرادی با تخصص نامرتبط نیز تحت شعاع قرار خواهد [UNK] داد.,-1
7712,اینا که همه ماهننن,اینا که همه کاره,1
6124,امروز NUM۱ شنبه صبح خیلی بد گذشت بدون شماها,امروز num۱ شنبه صبح خیلی سخت گذشت بدون شماها,-1
129,LINK بسیارعالیه.. خداقوت.,link خیلی خداقوت.,1
1676,عه موهاتون کو آقای تنامنده,شماره موهاتون کو اقای تنامنده,-1
2361,فقر مطلق پرسنل پیمانکار مترو,فقر مطلق شغلی پیمانکار مترو,-1
1573,پایتخت NUM۱ کی پخش میشه؟,پایتخت num۱ کی پخش شده,0
6900,مگه برنامه بهتر از این داریم … مگه داریم مگه میشه,مگه برنامه بهتر از این بود … مگه داریم مگه میشه,1
